comment,star
利用专业之便做了一篇关于松子的论文，虽然过程十分痛苦，但总算了却一桩心愿。,5
西方民族在苦难面前选择记忆，东方民族选择遗忘,5
女演员和绝路不错。,3
第六章才开始进入故事，太拖沓冗长。烂翻译，故事一般般，马普尔小姐的魅力与波洛比差老远。,3
硬凑cp一刚（解答部分没什么意思，剧情又乱糟糟的）,2
我原来没想到陈坤是个这么细腻这么有思想的人。,5
看了这本书，我希望自己30岁时依旧充满热爱，而且比20多岁更能驾驭自己。,5
有启发，强调与人的沟通，但实际操作前提是对象具备沟通的思维，心智相当,3
美国版一帘幽梦,3
哦好诡异好神奇简直是天马行空难以言喻拜托是你们书读得少好吗？,3
整本书看下来只看到作者不停展露自己的见识和小聪明，然而这并没有什么卵用。,2
还得年少时的梦吗？,5
大家真心都读得进去？,3
只有严歌苓才能写出王葡萄。,5
朱迪·皮考特真是个太会讲故事的人,5
多元论对消极自由……,5
不知道为什么总觉得这个作者很可疑,2
齐东方水平很高啊,5
虽然我不在常春藤，也不优秀，但挺符合里边对绵羊的描述,5
这本书太棒了！,5
飞速扫过，几个要点能力提及得非常符合我国国情。,3
相机虽会记录，但没有记忆；人眼在仅有的一次曝光机会中，看清了世界,4
花了一个月的时间读完，不读完你永远不知道接下来发生什么故事,5
中文的书名是最大败笔。其实就是讲家长如何与孩子相处的书。,5
男神,5
同样好看！,5
"我们需要这样的人: 与其才思敏捷 不如好学深思;与其算无逸策,不如身体力行...",4
" 它是你们的情书，我的命。
        ",5
"算不上杰作,但足以感动",3
一厢情愿的局部真相。,4
没有第一次我在豆瓣日记看到她小说的惊艳感。,3
很一般,2
好多常识性错误。。。,3
这是一个关于直率和爱的故事，也是一个关于认真和蠢的故事,4
在不幸中还如此顽强乐观，配得上天使这个称号。,4
在灯火阑珊之际，记住那曾经的光明；当黑暗降临，就不会忘记。,3
年轻人认为老年人是傻子，但是老年人明白年轻人是傻子！,3
这一集出场人物好多。。。,4
内心清亮，但活得太用劲儿。用力活的人都令我有距离感。,3
嗯……国内的青少年读物都是这种水准就好了,4
常读常新,4
卷毛小姐用来印证我们之间感情而送的礼物，书本身太恶俗了。,2
呃,2
女明星能写出这样的书真的很让人意外,5
她的心知晓一切，但她的心不告诉她,5
好看！,5
独取美食一瓢饮,5
走馬觀花了一通，然後还給先生了。,5
浅显易懂。,3
感觉书的后半段变得狗尾了,3
河合先生，我想念你。一面体味着离别的悲伤，一面下定决心从明天起自己一个人往前走"",5
情绪沟通方法,4
入门最好书籍之一，期待老师的新书。,5
非常多的帮助！让人更相信灵性与阅读的力量,5
果然原著比电视剧更燃，卞耀汉真的把狗壁演活了，完全是漫画里走出来的。,5
女性酒鬼的戒酒史,3
也就这样吧。随便看看系列。,3
一个gay真的能塑造一个女人么，I highly doubt it.,2
文笔也好，思想也罢，事情也好，见得也罢。都是一般可以概括。,3
这部手法和某部短篇相似,4
★★★☆☆ 凶手很好猜。不过这本质上是一本失恋小说吧，笑,3
文中一直说自己沉淀下来了，可是字里行间感受他很浮躁。,3
最好的就是现在拥有的。顺便说一句，畅销书的门槛还真是秀下限。,2
最近读得很慢,4
意志力和期望可以改变很多，问题是，什么是我们想要的？,5
比想象中写得好很多啊 也是很美貌的一本书,4
评分如此之高是为什么呢？,2
为什么她的长篇总像没有写完？,3
细腻丰富，真像一卷静谧美好的长幅，人物生动活泼，个性清晰明丽，有景有境有情。,5
"结局泪目。。。好忧伤，一半在讲大象看的也好难过。
",4
各种惊艳的金银器,5
简单易读，作为一本好书，不仅写了该写的，还有很大启发性,4
上厕所的时候看...,4
前面很好，既冷静又快速，看得很爽快。后半段开始进入灵界，就看不下去了。,3
从基础开始，一步一步的提高,5
大部头，真难读啊！,4
“我生之后再杀他” //原著漫画比tvN改编电视剧好 结合了围棋视角,5
还没有好好看。,3
封面真好看啊，喜欢了。,5
我们每天都在说话，然而那些没能说出口的，才是最想被听见的。比如对不起。没关系。我爱你。,5
评价：1、肮脏的侩子手2、无耻的伪君子3、贱人就是矫情,1
" 老男孩斯皮尔伯格或许借此片宣告了未来电影的走向，电影不再是用来看的，而是用来玩的
   ",4
这也能出书？,1
"没安全感是全世界女人通用的妇科病。不能放任情绪自流，不如沉默，不如微笑。
",5
看到中断已经想掉眼泪，一路两个人，最后还是孤独的走,4
读的过程中有抑郁感，读完对生活更无措,4
作者很克制地讲述了这样一个并不平淡的故事。同妻，放到现在也如此。,4
这种骗钱的书,3
人生之书。,5
估计是读过的最难看的阿加莎的书。翻了前面两个短篇，竟然是意识流梦魇，而不是侦探故事。,2
婚姻失败后的婆婆重生了，这本真是非常好,4
永远不会太晚。,4
2012.9.30很实用的书。,5
买回来快一年，最近才看。很棒啊，很治愈，家有姐妹，大概都能理解这种感情吧,5
人情世故，不是那么好写的，想要天马行空，谈何容易,1
这散文一样的文字，只有个别段落才真的值得读啊。其他都是啥玩意儿,3
被安利一定要看马上看三本都看，硬撑着看了半本，实在是受不了了。。。,1
精彩一定不能错过,4
只看了导论和两种自由概念,3
既然抄袭，那就╮(╯▽╰)╭,2
精美绝伦,5
2010年读下来就这一本令人爱不释手的书~,5
非常棒的方法论！,5
一个古董商人的碎碎念。,4
啰嗦,3
年度好书,5
很有收获，很多沟通的方式与技巧不限于孩子,5
学水彩，这一本就够了,5
“我身在其中，而有太多需求的我，一点都不完美。”,3
挺棒的。给我这种完全不懂人情世故和办公室政治的职场菜鸟一点启示,5
书，真是五星好书；翻译，真让人想哭。,3
竟然买了这样一本网络鸡汤我真是瞎了狗眼！,1
豆瓣营销狗，死爹死妈死全家,1
比陪伴更深沉的爱，叫放手。,4
千回百转之后才能惊呼一句缘来是你,3
坚持是一件能够改变灵魂的事,4
当遇到喜欢的男生时就要多看几遍。非常实用！,5
无感。翻译过来总归是丧失原味。,3
60年代大学造反必读书目,5
这文风似乎让我想到了十年前的少女杂志，当时懵懂的我心想“啊～这就是小资的白领生活啊”……,3
2010 6.9,3
当我们不再相爱，威尼斯也在掉眼泪,4
有着强烈自我意识的姑娘,4
在各种层面而言，和处女作交相辉映的良作，不过稍微有些絮絮叨叨略欠紧凑。,4
一边破案一边当月老的波洛老爷，希望凯瑟琳能改变德里克~,4
读再多书写出来的文字也掩盖不了他的自大,2
渣,1
这倒是，可以和爱人一起看看的，读读的。,4
典型的畅销书，情节一般，像好莱坞的电影。,3
有点不明所以，不是意识流却限于才情套上意识流的模样,2
请看副标。,5
耐着性子读完了，坦言之，很不喜欢。闷。,2
哲学式的语言，真心看不懂。,3
我无法抵御他的蛊惑,5
这么好的书竟然都没有引进！,5
比较简单的一本书，感觉是写给初入职的年轻人看的。,3
激情不是好好工作的因，只有对工作的精通才能真正让工作成为激情，激情是精通技能的果。,4
原来这本书在豆瓣也就一千多个人读过啊……,4
阐述如何避免说教和对孩子的任何想法保持宽容的教育观念，其实也是与人相处之道。,5
非常喜欢简大神的风格，从头临摹下来确实会有提升。最后两幅留着以后再有进步了再回头临摹。,4
一辈子需要实践的一课，缺少具体步骤，不够清晰，但是似乎它懂你经历了什么。,3
关于领导力最有收获的书！,5
因为很多人推荐这个电视剧，就找来漫画看了。,4
藏书。。,5
"豆瓣上看着好好的,印成书就感觉鸡汤了",3
莫名其妙有点小感动。不需多说，就治愈了。,4
每一个转折都那么俗气,3
西方言情小说，不那么推荐,3
光听书名就不应该翻开的一本书。。。作者自己都没搞清楚状况呢，还在这扮know-it-all,1
校对和翻译太影响读感。,2
概括起来简单，读起来真累，生生把我本就打结的脑子读成了麻花。。。,4
谁不曾在爱的牢笼内外彷徨失措,5
确实是最好的八卦文字，比同类的好很多。,4
别开玩笑了，还《一个陌生女人的来信》呢呵呵呵,3
有时候，孩童和哲学家很相似，他们都用简单的话语说出这世界上本就存在而一直被忽视的真理。,5
马普尔小姐登场，从此时代改变了。,4
没啥惊喜,2
前半部分主人公活着的生活让我不停地联想到gossip girl....,3
柏拉图呀，我就从没想过。。,4
乱七八糟,3
为其独立性加一星,5
适度心灵鸡汤，低落时可饮用少许。,3
写这种题材，我总忍不了拿其和莫言对比，严歌苓还是差了点火候,3
神品。期待最终报告的问世……我活着的时候应该看得到吧><~,5
空、泛、白。#开卷有益#,3
基本是在反激情思维，通过“追随内心的欲望和耍小聪明”的方式。,2
！！,3
”因为这个世界在我眼中似乎一直够大、够美“，世界那么大，我也要去看看~,4
前半本惊叹，后半本有点难，时读时新,5
很好~,5
用最快的速度看的这本书  打算看完一遍之后调挑重点继续来一遍,3
把围棋和职场结合起来，精彩的内容和富有启发性的情节，让我欲罢不能！,4
其实后两卷不知道扔哪去了。,3
垃圾，女作家视野见识就那么一点点，小学水平，迅速弃读,1
我觉得仅《我有一段情》一篇就秒杀了这本书里所有文章，可惜没收录。,3
作者说话挺实在的，不惜以自己做栗子。,4
想替艾拉对你说一声，谢谢有你，世界才不是寂寞荒野，而是四季流转的花园。,4
其实，我想要的，也不过是这样。一个人生活也没什么不好。，,4
呵呵，也就蛊惑下未经世事的大学生,3
一星。直男癌。这是一本很糟糕的书。,1
当年在图书馆啃读这套巨著时顺带也啃了不少汉堡...,5
这是第一本看不下去。。。硬着头皮略读的书,1
可能恋爱这件事，还真要有个人来教。,4
翻译得太生硬 逼得人只能选择读原版了,3
还是买英文版吧,5
只有诺斯替主义者、摩尼教徒才能战胜发达工业资本主义社会的黑玛门尼。,5
还不如去看报纸情感专栏至少那都是真的：）心疼我的七块八,1
上海与纽约的女性故事,5
什么样的红颜才不是祸水。,4
五十多岁的川尻松子流着泪，看着这条河……,5
因为阿婆情结加1星,4
绕了一圈又回来，马普尔小姐的推理每次都令人信服。,4
别字影响阅读，开篇堪比惊险小说。中间有点转向八点档，爱情改变坏男人是什么鬼设定？,3
3.5。虽然有几处差点看哭了，可是我还是觉得陈坤现在内心最最深处可能还是自卑的。,3
其实一般般……,3
必读～,5
没什么特色美国小说。。,3
啊啊啊普鲁士蓝终于出书了啊，超级开心!除了自由没看过以外以前都看过了。,5
远远不及我的期待。。。太过自我太过极端，和成功学都差不多了。。。,3
真是一本好书，可以当小说看。比小说还有阅尽世情之感。,5
从一个女人的一生来透视时代的变迁。写到后面拖沓了。,3
历史哲学部分很好，密尔的部分特别感人。但“两种自由”混乱。,4
一本野史，写得很浅很浮躁，另外最不能忍抄，觉得花时间读了一本抄得不太好的书不值,2
希望这样的好老师越来越多,5
#好书传阅#helen0063，非常系统、实用的职场提升方法论！,5
2015.03.09～03.12,4
很有收货！,5
总觉得每过一段时间就需要喝一点鸡汤让我补一补(⊙o⊙)，看多了就不想改了因为好累。。。,3
非常詳細的講解，包含很多方面，比聖吉的第五項修煉更傾向於細節以及行動結果上,5
围棋 公司 都是战场啊 除了作战哲学什么也不会 可以活下去吗,4
我是一行一行发声读出来，才读完的,2
我们在小说中探讨的并非现实，而是真相的顿悟。,4
"很久以前总是看见这本书的名字,心灵鸡汤文,可是真的一直温到现在还暖着.",5
其实这本书真不错，从生活品质到生活态度。但是出版社没意识到名媛这个词在中国已经被用坏了吗？,4
像是把每天写的笔记，拼凑在一起，很疑问豆瓣的评价为啥如此高？,2
对于逝去の终将time to say goodbye ,4
不是有意一个人，但不惧怕一个人,3
这个有点滥竽充数了,2
人物塑造有其丰富之处。有反转。,4
和顯克微支的《你往何處去》有異曲同工之妙,4
正如郭敬明这种货色还能堂而皇之的骗钱 这个社会如此 无怪乎谁,1
真的是恋爱心理学，读过这本书才知道，本人从骨子里就不会谈恋爱，男人和女人有太多不一样。,5
知音已死。我尚在苟活。,5
简直是个陆续变成现实了的预言,4
有几个故事还不错。,4
系列,5
充分满足了我一颗八卦的心！那些女人不得不说的故事,5
3.5星，开学没那么多时间那个速度来看书。,3
第一次觉得电影是小说的神还原。,4
1945年2月死於卑爾根·貝爾森。三或四個星期後，SAS解放集中營。,4
感觉阿婆的短篇就是练笔和攒素材的，九篇中没有特别出色的，因为篇幅都不长，很容易读完。,3
已豆列。,3
1928。我在豆瓣添加的第1本书。乔治·乔治斯初登场，圣玛丽米德村初出现。,4
文笔不好，感情表达不出来，有种偏执的强势。还是口述找别人代笔好了。,3
资本主义的腐朽青春啊，整天不好好学习，抽烟喝酒，欺负同学,3
2016年2月15日 重读,5
"首先,女性小说就不适合我了,更有一些文化差异更另人难受...",3
看清生活，得到幸福，是一辈子的努力,5
难道没有人觉得这个人文笔真的有很多不通顺的地方么。。。。,1
他为什么为这个女人立传却还是个问题。,4
故事有点乱,2
谷崎的故事还是最喜欢春琴那种,3
不好看,2
我的以赛亚·伯林！,5
民国那会的文人，还是很懂吃的，现在的文人，只是懂的“谈吃”和“包装吃”而已。,3
听过齐老师的讲座之后来的，在陕历博男朋友买的礼物~~~~~~啦啦啦   我不是在秀恩爱,5
虚无是一所暗郁的精神病院，尼采在电疗间里电疗狂叫，齐奥朗则静静地躺在停尸房里呓语。,4
反对激情假设，然而作者的论证缺乏信服力，看得我尴尬了,2
艺术家都是自恋的吗,4
在豆瓣日记中作了书摘。,4
还不错,4
满分，十星，字字珠玑,5
有启示，但太理论~,4
现在还适用?,4
【中东现场】夜色温柔,4
为什么我大学的时候没有读这本。后悔了，不过现在看也不晚。力荐o(￣ヘ￣o* )[握拳!],5
好肤浅的畅销书,2
劣质鸡汤，不值那个钱。,1
女人和女人走的越近，越觉寒冷。时辰一旦逝去，一切永不再来。,4
看简介就哭得不行的书。是离开的时候了……,5
强烈想看原文书，可是买不到。。谁有原文的可否借我看看啊？保证很爱惜。,4
初中时读到丘吉尔对珍珠港的态度一段时还真吓了一大跳,4
挺精彩的 但不知道为什么最后居然觉得没有出轨的女主有点遗憾 也是为了我的三观感到担忧,4
不要脸 抄袭还代笔,1
好多絮叨的细节。也许可以在不累的时候看英文版。,3
冷冰冰的现实,4
批判成习惯，依然觉得振聋发聩,4
通篇没有随便某个女人让我惊叹。叙事挺一般，构思还行，没什么高度。,3
纯情、善良、渴望家庭温暖的阿宝，在美国度过了寂寞青春的“狂飙时代,5
消遣读物，最适合坐车的时候看。看别人的故事，长自己的智慧。,3
不是讨好和付出就能获得爱的呀，松子。,5
终于亲自去了一趟安妮之家博物馆！,5
就要读完了。终于，波洛出现了。,4
一直在强调“我是个穷人家的孩子”,3
強烈推薦 想知道爲什麽強烈推薦嗎 你看了之後就知道了,5
对自己启发很大,5
我们之所以是我们，全因为那么多的曾经。,4
讀完此書，始知稟魯鈍之資，挾鄙陋之學，而欲尚論儒宗國士於三百年前，誠太不自量矣。,5
比《活着》柔软的《活着》，在我眼里也是比《活着》高明的《活着》,5
好看的电影让人舍不得快进一秒，好读的书让人舍不得跳读一行。,5
一个有点绿野仙踪式的寻亲悬疑故事，结局突兀，仔细想想，还有漏洞,3
07年12月1-10日,4
本来看完还觉得挺轻快易读，结果上豆瓣条目一看才知道，作者是洗稿、抄袭的惯犯，自然一星奉上,1
惊了！,5
有收获 需要时不时地拿出来温习几遍才能彻底记住,4
非常值得学习。,5
装帧和内容都是极好的 价钱也是极好的,4
“你对待伴侣的方式，事实上就是你对待自己的方式。你对伴侣付出什么，就是对自己付出什么。”,4
当年我没看懂，神马时候会有时间再看一遍呢。话说现在只记得一句话，战争是政治的延续。,5
看的时候脑中总会出现一些based on它的游戏故事情节。,4
你可以骗我，我也可以骗你，唯一骗不了你的是我爱你,5
最近看了很多耽误我看名著的书。,4
长大有何稀奇，长好才不容易。,4
一本蛮有意思的关于女性主义的小说。,4
整个一女刘墉啊，好烦用第二人称写鸡汤的。有几篇还凑合。,2
就是不喜欢老是叫人不要看书，没有这么多人看书你吃屎吗？,4
感觉评分过高了，为爱放手，感人还是感人的，不过看完无惊喜点，除了他爸自杀，有点莫名,4
白石一文终于不再直男癌了,5
大部头,3
这里没有小资情调，拒绝无谓毒舌，只有一篇篇真实真诚真切的问答。,5
还是蛮不错的一本书，三小时图书馆读完，训练强大内心，做最好的自己。,4
非常喜欢这一本，甚于第一本。,4
好看。最好看的都市文学，女性小说,5
最好的女子，呵呵,3
其实，是个烂俗的失恋故事。世间随处可见的平凡故事。,4
旧书标记，最早的鸡汤。,3
喜欢《女演员》，有必要去看一场《捕鼠器》啦。,3
还好我有法宝，闷书速读法。。。。比较乏味这书,2
中规中矩,3
陈坤这人就是太敏感，过度敏感就成了神经质。,4
。然后看到分手那章后就没有继续读。真是半途而废。,4
结局真是安慰人啊，不过，一个人做自己就好，何必和别人比呢…虽然真的做起来很难。,4
更喜欢最后两篇，期待王苏辛未来的书。,4
抓狂了，尼玛这么活着不如去屎啊！！！！尤其那个雪子啊！！尼玛阅读越讨厌！！！,2
悬疑的转折太突然了，本以为描述人类及动物界的情感一下子转折成玄幻，不怎么能接受。,4
我爱伯林的书,4
最恨盗版！,1
看过两次展览，图录翻了几次，印象深刻。,5
让别人来过我的生活吧，上帝或者蛞蝓.,5
无论是家长还是老师，都会从MARVA的教育方式中受益匪浅。,3
翻了一遍，说的虽好，更须实践。,3
概念多于实操。也就那样吧。,3
怎么读怎么觉得是孙子兵法的退化版,4
编辑编的什么玩意儿，一会儿怀孕一会儿离婚一会儿生了儿子的，能按时间好好排个序么,3
从此以后，公主与公主在城堡中过着幸福的生活。,5
怎么说，感觉讲道理太多，所以看着有点累。,3
文字挺好的。有几个故事很喜欢。,3
再去过几年日子再跑出来教训别人该怎么过日子。几岁的人，就一副人生导师的装逼样儿。,1
温柔细腻的文字,4
对这种类型的书 我统称为 厕所读物 没有任何贬义,3
名字真的有点蠢。强烈建议把本书纳入中学教材，从小进行反洗脑教育。,4
高中图书馆的惊喜发现 找时间买回来再看一次 ,4
相隔一个世纪的两位城市女性的生活奋斗，二十世纪初美国的部分尤其赞。,5
法国女人是如此，但是世界上只剩下法国女人岂不是单调的要死。,2
爱苏美,5
情绪管理的能力、述情、共情、允许（接纳）、影响（与改变的区别）,3
其实挺无聊的,2
适合无所事事的时候 窝在床上读,3
大家顶着爱这个词，其实干尽了人间丑事。,4
我看的特别快，同时哭的特别惨。真·原谅别人，才能宽恕自己。,5
时尚业的二十年起伏，一点也不浮夸，非常不错的职场小说。,5
腻味的心灵鸡汤,2
实操手册  读懂男人，才能好好相处,5
透彻，纯粹，充满力量。,4
典型的欧洲思辨,4
有些别的类型的烦恼吧 你就不会再哭诉这些了 ,4
你爱上一个人才会发现“爱”如牢笼，将你围困,5
轻笑不语。,5
越往后越神棍,4
很早前读过的书了～,4
昨天没忍住，直接先把《寓所谜案》的电影看了……应该说小说与电影各有千秋吧~,4
已豆列。,3
满足鸟我的少女心,4
唯一的收获就是，里面推荐的电影《shadowlands》,3
看似平淡无奇的故事，实际情节跌宕起伏。,4
讲真，故事太魔幻，完全没见过这种路数的，但看的时候没被吸进去的感觉，一直很游离。,3
参差多态，乃是幸福之本源。行吟是浪漫的，入世也非那般可耻。,3
从抗日到解放，土改，镇压反革命，三反五反，三年灾害，文革，史诗般的著作。,5
这两个公式的实际意义落在何处呢？,4
囧，事不过三，以后豆瓣热评的畅销书真的不能买了,3
人歌小岁酒，花舞大唐春,5
信息量太大了……,5
我看的是网上有人义务翻译的中文版，稍有缺陷，但是不影响阅读，很赞,5
大学毕业的比较适合！,3
一个不向生活认怂的人所会经历的世界,5
结局甜得牙都倒了w,5
学习中,4
偶尔还是有必要看一下这类心灵鸡汤的。。。,3
过度诠释，无框架理论。,1
“你要听听我的建议，年轻的小姐。要开始多想想自己的未来，不要沉湎于过去。”,5
sigh…崇洋媚外是全世界通病吧,3
书比书名好多了,4
有段子味儿。书名和内容语气上不是很相配。,3
太棒了。我以前一直认为理是最重要的。但是我现在被彻底扭转过来了，情比理重要啊，特别是家中,5
我真的受够了这样调调的爱情观和生活观,2
对曾经的过错，是原谅，还是忘记？看看这本书里的她们如何抉择？,5
比较像学生时期的作文。。,3
有用有用的,5
很感人,4
有一定阅历的人适合读，也许你会在这群女子中间看到曾经的自己。,5
略晦涩，需要哲学功底。,4
"莴老 宣一台 当代作家 
不容易",4
感觉作者写得很假，书中人物有一种努力装外国人的感觉，很不自然。,1
比较无聊。李嘉欣周慧敏才是聪明女人，真奇怪了，越美越聪明，老天真是不公啊。,3
關於此書最溫暖的記憶，是我在林芝的旅店里讀給你聽。,3
太想得到爱，就一味去迎合。虽然很可悲，却也并不寂寞。,5
皮皮送的。,5
看的我晕头转向... 逻辑在哪儿？这本应该算是大师的瑕疵了吧？,2
“相信人生的列车，小姐。”,3
紧锣密鼓地读完了，很赞！,4
让假装很好、心中有痛的女人流泪及改变。。。,5
校友名作，不可不读。,5
谷崎作品中最特别的一部,5
差不多了。,2
怪杰论自由的经典之作。,4
文物出版社又一本好书，主要是看图，很细,5
